Month,values
2011-10,22
2011-11,21
2011-12,24
2012-01,22
2012-02,35
2012-03,34
2012-04,35
2012-05,51
2012-06,49
2012-07,53
2012-08,47
2012-09,25
2012-10,26
2012-11,31
2012-12,43
2013-01,33
2013-02,31
2013-03,48
2013-04,47
2013-05,46
2013-06,57
2013-07,54
2013-08,51
2013-09,42
2013-10,40
2013-11,45
2013-12,35
2014-01,35
2014-02,57
2014-03,56
2014-04,71
2014-05,65
2014-06,81
2014-07,61
2014-08,48
2014-09,47
2014-10,44
2014-11,44
2014-12,41
2015-01,38
2015-02,39
2015-03,86
2015-04,78
2015-05,83
2015-06,86
2015-07,85
2015-08,62
2015-09,45
2015-10,47
2015-11,53
2015-12,52
2016-01,42
2016-02,57
2016-03,55
2016-04,68
2016-05,74
2016-06,91
2016-07,77
2016-08,72
2016-09,55
2016-10,58
2016-11,54
2016-12,57
2017-01,48
2017-02,88
2017-03,74
2017-04,79
2017-05,89
2017-06,84
2017-07,78
2017-08,70
2017-09,58
2017-10,46
2017-11,58
2017-12,59
2018-01,57
2018-02,57
2018-03,91
2018-04,92
2018-05,97
2018-06,100
2018-07,99
2018-08,68
2018-09,54
2018-10,62
2018-11,52
2018-12,57
2019-01,49
2019-02,69
2019-03,74
2019-04,73
2019-05,91
2019-06,96
2019-07,95
2019-08,77
2019-09,66
2019-10,66
